Series Name,Series Code,Country Name,Country Code,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Argentina,ARG,..,..,..,34.03839404,32.76262784,30.37099055,25.44617527,23.19194217,20.35493151,19.53170789,19.65415706,18.58452627,18.68893603,15.48284905,15.93860122,18.41005366,14.87585898,16.77964365,13.99429997,13.91052003,16.45896107,15.87634044,16.81590133,17.48354198,17.02576256,16.53947808,14.03128891,14.76044016,14.63492217,22.4844277,22.64597048,15.50579693,15.46612083,22.12492442,22.81373565,21.64222885,18.88042353,17.92068393,17.85609691,16.47006208,15.31971022,16.10743905,14.56261556,14.96386557,13.41810079,11.82578069,14.87426431,19.11757389,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.27562536,25.19036584,21.55648891,18.91798774,20.73196062,22.22046448,21.38794716,21.6803056,22.5893558,22.34804952,21.32709236,21.85811011,21.37679365,22.41533877,21.71214918,22.1721898,21.80964641,22.60986016,22.41566653,22.89164027,24.94539837,22.75162912,24.3115681,25.14170594,24.58845708,24.30342107,23.17352013,21.21821891,22.41241032,22.4413726,23.27337379,24.57498917,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Brazil,BRA,..,..,21.83711367,19.52124571,20.11643795,19.95870114,18.52160821,18.47511108,19.44342755,16.12051479,14.14234256,16.70761099,20.16603465,17.9229683,22.66871919,24.93834427,33.98879921,19.47036856,19.1622316,20.58674406,20.75974644,21.6514624,14.56513691,13.03609715,12.57189388,12.06830584,11.17923108,14.40658656,14.05080174,15.94065072,16.95603124,19.42902396,18.65330054,18.88232352,19.76621119,19.7101469,16.75102281,18.36984799,19.09186954,18.1304708,18.40746571,16.44076791,14.80798801,13.71267295,13.83644283,13.07087306,12.88752293,15.33326854,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Canada,CAN,23.54913717,24.48415402,21.43182218,22.25910036,21.05833391,20.83639622,22.69003678,22.80672746,23.26907564,20.61191427,20.65777689,21.57989631,21.18154988,19.62755873,20.80824613,21.66228593,20.85555526,18.42279248,15.66122634,14.57955554,15.40751307,17.61386461,19.62566735,20.1304005,20.8425842,20.46249129,21.83045098,24.41505636,23.2911416,22.28857693,22.4970678,24.18158367,24.96185233,25.01485402,24.76889962,24.60896072,18.8444871,19.70189791,21.25864874,21.29587268,21.93134446,22.51225199,19.87382492,19.38325078,20.10090864,19.83495477,20.27153848,18.90878582,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,China,CHN,..,..,..,..,..,..,..,..,..,33.75834127,33.0245318,34.72600687,35.18360162,35.25287782,37.25825502,37.99419149,35.85859446,36.59633753,38.42309352,40.58514224,41.79391261,41.77341517,40.17405225,39.32536684,40.20227725,38.97751297,37.04794744,36.17754145,37.81054585,39.28245166,42.67615638,45.7925451,46.28091339,48.35084402,50.16161798,51.46759237,50.45742556,51.54749944,49.69647933,48.77866012,47.76683415,47.55544345,45.63534427,44.60182309,44.9639649,44.68200336,43.896015,44.85112622,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,France,FRA,..,..,25.33215418,25.08825763,24.89684346,24.95326004,24.9303158,24.17502012,21.85624918,20.74533468,20.47300026,20.30485332,20.22034612,21.37834009,21.21131074,22.53807681,23.12735621,23.24636536,22.90077616,22.29173407,21.13522343,21.28409461,21.80222217,21.57876501,22.52488887,23.54943384,24.01450027,23.46404906,23.51512458,22.51032977,21.94334705,22.24132879,22.08523256,22.84917883,23.28405878,22.93439125,20.49320634,20.60726412,21.54031173,20.99674505,20.92057599,21.030146,21.78360896,21.54880386,22.24551151,22.63126403,23.16154231,21.13958339,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Germany,DEU,24.63686667,23.48001045,19.93967408,20.43866077,20.18085253,21.00048418,20.5171993,19.29677507,17.96363248,18.2905012,18.79759162,19.33646832,20.12520771,21.67526849,20.87636142,21.93532912,22.90323362,24.14092961,23.62992095,23.43974048,22.47429265,22.75378796,23.06965866,22.51830635,22.82927531,23.35964775,22.72013816,22.79358945,22.69892186,22.87595015,22.01694371,24.17249827,23.9328483,25.89926367,27.86117873,26.88804589,23.85336477,25.26799119,27.12627497,26.17237385,25.98035084,27.04186165,27.69746199,27.83437297,28.20706309,28.91451739,28.70580535,27.35780663,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,India,IND,..,..,13.13740696,16.00621871,15.43955807,15.07913465,15.74948579,14.49175941,15.80422136,15.85801293,15.41942039,15.88526061,16.88310069,15.87853057,17.10633238,18.34894908,20.38123184,21.49507293,22.0961831,23.60796139,24.41982794,26.28566947,27.27242286,27.30401846,27.78788833,26.11001683,25.83806707,26.39948127,26.48948386,28.3009828,30.69861202,33.56829388,34.66729049,36.6467896,37.1670197,36.47184124,35.83130965,36.69912395,35.44347316,35.68025073,34.73721651,33.86648524,32.83486979,31.47323261,32.0533813,31.6565862,30.17122501,31.02247119,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,20.94376235,16.05845552,25.05755168,24.21553299,24.54601342,21.9230683,25.32404122,24.50984464,27.51499134,23.61452476,23.18396452,24.47249725,30.14561128,30.69470797,28.9910136,28.57382504,29.90545167,23.76242463,14.29026314,28.15390971,28.24729954,23.7273811,21.51102216,21.76294056,25.58341206,26.9242646,26.25905501,29.50080438,30.11024853,33.62269238,34.16627775,32.91443586,32.08063072,31.73288585,31.1568601,30.91235692,31.8887882,32.65357471,31.86992138,30.4292471,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Italy,ITA,24.81374639,25.71474408,24.00043249,25.58662616,25.55815219,25.97714517,25.99435196,24.60265268,22.53685337,22.24633648,22.79821339,22.89150845,22.52580748,22.20033687,21.98967306,22.04253144,21.38012199,21.36920334,20.55289521,19.57592163,20.26943246,20.39335942,22.37253184,22.58661743,22.52507442,21.7491936,21.07167995,20.66683018,21.06059778,21.15718129,20.49643319,20.80878313,20.24732269,20.40623496,20.85776659,19.16286196,17.63460426,17.30801746,17.68745873,17.5724217,18.03091292,18.84483884,18.6501653,20.09840321,20.49355879,20.82249404,21.20205668,21.07979939,..,..
