country,year,Adjusted savings: gross savings (% of GNI),"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",Bank nonperforming loans to total gross loans (%),Claims on other sectors of the domestic economy (% of GDP),Claims on other sectors of the domestic economy (annual growth as % of broad money),Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Domestic general government health expenditure (% of current health expenditure),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure per capita (current US$),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),Domestic private health expenditure per capita (current US$),"Domestic private health expenditure per capita, PPP (current international $)",Gross capital formation (% of GDP),Gross capital formation (annual % growth),Gross capital formation (constant 2015 US$),Gross capital formation (constant LCU),Gross capital formation (current LCU),Gross capital formation (current US$),Gross domestic income (constant LCU),Gross domestic savings (% of GDP),Gross domestic savings (current LCU),Gross domestic savings (current US$),Gross fixed capital formation (% of GDP),Gross fixed capital formation (annual % growth),Gross fixed capital formation (constant 2015 US$),Gross fixed capital formation (constant LCU),Gross fixed capital formation (current LCU),Gross fixed capital formation (current US$),"Gross fixed capital formation, private sector (% of GDP)","Gross fixed capital formation, private sector (current LCU)","Gross intake ratio in first grade of primary education, female (% of relevant age group)","Gross intake ratio in first grade of primary education, male (% of relevant age group)","Gross intake ratio in first grade of primary education, total (% of relevant age group)",Gross national expenditure (% of GDP),Gross national expenditure (constant 2015 US$),Gross national expenditure (constant LCU),Gross national expenditure (current LCU),Gross national expenditure (current US$),Gross national expenditure deflator (base year varies by country),Gross savings (% of GDP),Gross savings (% of GNI),Gross savings (current LCU),Gross savings (current US$),Gross value added at basic prices (GVA) (constant 2015 US$),Gross value added at basic prices (GVA) (constant LCU),Gross value added at basic prices (GVA) (current LCU),Gross value added at basic prices (GVA) (current US$),"Listed domestic companies, total",Market capitalization of listed domestic companies (% of GDP),Market capitalization of listed domestic companies (current US$),Net ODA received (% of gross capital formation),Net domestic credit (current LCU),"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)","Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)","School enrollment, preprimary (% gross)","School enrollment, preprimary, female (% gross)","School enrollment, preprimary, male (% gross)","School enrollment, primary (% gross)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, tertiary (% gross)","School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)","Stocks traded, turnover ratio of domestic shares (%)"
Argentina,1973,..,..,..,..,..,27.4901879012225,16.705575724589,15.6482608053113,..,..,..,..,..,..,..,..,20.8938115320811,-4.70004320971834,47164202352.7723,67207429843,0.9880599976,10978444355.8423,298124960786.421,22.7969816115916,1.0780601501,11978446044.6452,20.8938115320811,-7.27272639372069,37971548956.7777,57797553473,0.9880599976,10978444355.8423,..,..,..,..,..,98.0968299204895,223425086761.466,285212276643,4.6389598847,51543998428.1008,1.62649376082313E-09,..,..,..,..,204785372339.458,246783449750,4.7289500237,52543888855.7933,..,..,..,0.123514771128758,1.35,..,..,29.065580368042,29.4850807189941,28.6568908691406,105.710746765137,0.991540014743805,1.01377999782562,105.904327392578,105.522796630859,49.9397087097168,1.09125995635986,52.5308418273926,47.412899017334,19.7516307830811,0.847370028495789,18.1059703826904,21.3673191070557,..
Argentina,1974,..,..,..,..,..,30.371312312636,19.1738082781793,17.9466845483758,..,..,..,..,..,..,..,..,22.2603317856376,1.10725309945398,47686429445.1561,67951586193,1.4512200356,16124666971.2541,311456481592.989,22.8738930645877,1.4912199974,16569110988.7468,22.2603317856376,4.02781958424505,39500974442.1,60125534651,1.4512200356,16124666971.2541,..,..,..,..,119.35601,99.3864387210498,236487427846.221,301466429093,6.4793100358,71992333324.9628,2.14926420009479E-09,..,..,..,..,215834905378.333,260099058430,6.5193099976,72436777342.4554,..,..,..,0.0989167704219852,2.1,..,..,31.402250289917,32.0393981933594,30.7816791534424,106.127319335938,0.984629988670349,1.00782001018524,105.99243927002,106.258392333984,52.7623901367188,1.08759999275208,55.5536193847656,50.0380401611328,22.8830108642578,0.837999999523163,20.8497295379639,24.8802700042725,..
Argentina,1975,..,..,..,..,..,28.7594771456156,16.4413498377265,15.3590039236442,..,..,..,..,..,..,..,..,29.4410469590453,1.79205846136003,48540998138.9485,69169318343,5.7122402191,15438486959.3817,311351953407.877,29.2862161333996,5.682199478,15357295767.8467,29.4410469590453,0.203752686293939,39581458738.6381,60248042043,5.7122402191,15438486959.3817,..,..,114.87984,116.68691,115.79434,100.154830825646,237302838702.299,302635729633,19.4323406221,52519839113.4575,6.42103318258726E-09,..,..,..,..,215878303810.873,260151357160,19.402299881,52438647921.9226,321,..,..,0.0777278241810337,5.57,..,..,35.7019386291504,36.4192695617676,35.0034599304199,105.472259521484,0.985339999198914,1.01061999797821,105.319801330566,105.620628356934,54.3875503540039,1.0974999666214,57.6349983215332,51.2155303955078,27.0771598815918,0.921909987926483,25.9682006835938,28.1677894592285,..
Argentina,1976,34.03839404,..,..,..,..,20.3441509421658,13.5627672947772,11.8332213213078,..,..,..,..,..,..,..,..,30.7294395896829,6.9433860287363,51911387021.9374,73972011129,31.448200226,15724100557.7079,303850533522.33,33.9832323160071,34.778099063,17389050023.2959,30.7294395896829,10.4726971450736,43726705037.9379,66557637022,31.448200226,15724100557.7079,..,..,116.21317,118.16658,117.20216,96.7462072736758,227684822540.025,291373966249,99.009098053,49504550426.5842,3.39800769875197E-08,34.0487067304709,34.0383940470118,34.8451049219818,17422552953.7343,212547814602.325,256137839950,102.33899689,51169499892.1722,308,..,..,0.089607670091381,20.25,..,..,37.9107513427734,38.733341217041,37.1095085144043,105.146507263184,0.985189974308014,1.01223003864288,104.785263061523,105.498420715332,55.8804817199707,1.10339999198914,59.3817481994629,52.4641418457031,27.011739730835,0.929790019989014,26.0209102630615,27.9858207702637,..
Argentina,1977,32.76262784,..,..,..,..,26.4137652814314,18.3829098551528,15.269192224964,..,..,..,..,..,..,..,..,30.9416888038212,20.8964444349682,62759021166.3979,89429531332,87.845001221,17569000350.9751,322084185459.576,33.2311870609607,94.34500122,18869000358.6758,30.9416888038212,20.8467476112677,52842300875.9203,80432739628,87.845001221,17569000350.9751,..,..,..,..,..,97.7105017428605,242527951294.17,311773236252,277.404998781,55481000093.3841,8.8976527336291E-08,32.5077111131019,32.762627840381,92.291016839058,18458203479.9908,226968265031.396,273515685170,283.90499878,56781000101.0848,302,1.46615945213704,832500000,0.0932893110719231,67.11,..,..,39.3972816467285,40.1003913879395,38.7118606567383,105.946830749512,0.988460004329681,1.01851999759674,105.606857299805,106.278297424316,55.6266784667969,1.12102997303009,59.5169296264648,51.8343086242676,23.9647407531738,0.928080022335052,23.0633602142334,24.8506603240967,28.7087087087087
Argentina,1978,30.37099055,..,..,..,..,29.3715442265546,20.5571174145111,17.1984341271811,..,..,..,..,..,..,..,..,27.8001595713111,-15.922914769771,52765955715.7298,75189743279,196.99499512,24755890055.9351,306914133947.247,30.6931473821212,217.49502564,27332079879.3734,27.8218932100794,-12.7951910672173,46081027514.5325,70141216912,197.14900208,24775243742.3944,..,..,..,..,..,97.1070121891899,230537813319.857,295063407889,688.11099243,86473263264.8898,2.33207837377402E-07,30.1386934415596,30.3300200621763,213.5661039,26838341677.6766,217948502488.011,262646119190,708.61102295,89049453088.3282,295,2.01618307326283,1795400000,0.0677010610041213,184.53,..,..,..,..,..,105.351020812988,1.00229001045227,1.03182995319366,105.586967468262,105.120536804199,55.3437309265137,1.13223004341125,59.4150505065918,51.3774185180664,21.2509994506836,1.01944994926453,21.4616203308105,21.0441093444824,19.6056589060933
Argentina,1979,25.44617527,..,..,..,..,31.2808593286715,24.0562276278008,20.7231358480453,..,..,..,..,..,..,..,..,25.8567694620944,10.2115612172125,58154183585.4888,82867789943,499.58898926,17906415044.1579,341444735200.699,26.0379662963583,503.0899658,18031898071.8723,23.9151408095888,6.76892221724161,49200216423.8969,74889021327,462.07400513,16561791982.7053,..,..,..,..,..,99.8188031657362,259985432828.683,332498845173,1928.63903806,69126845923.9297,5.80043830545193E-07,25.2160967346455,25.4461752656833,487.21029513033,17462734259.4415,238244585297.898,287104591370,1932.1400146,69252328951.6441,295,6.23785519620051,4319860000,0.157876383341103,540.49,..,..,39.189338684082,..,..,105.662490844727,0.989629983901978,1.02099001407623,105.10913848877,106.203689575195,54.9662895202637,1.12777996063232,58.8090286254883,51.2245483398438,22.1204700469971,1.00404000282288,22.1656303405762,22.076150894165,34.0636039130898
Argentina,1980,23.19194217,..,..,..,..,32.9601091605569,25.3957927510595,21.7295078957851,..,..,..,..,..,..,..,..,25.257786289888,8.10700961691026,62868748841.4001,89585889643,970,19438878223.106,351609587120.86,23.8360568062657,915.3999023,18344687862.1164,25.257786289888,8.32789289870379,53297557753.6095,81125698816,970,19438878223.106,..,..,..,..,..,101.421729483622,277583064092.198,355151114503,3895,78056114102.0598,1.09671625427691E-06,22.9884302060225,23.1919421674957,882.847651172393,17692338124.4282,246218868461.671,296714267520,3840.3999023,76961923741.0701,277,5.13877487432074,3954900000,0.224704326061653,1141,..,..,40.0811309814453,..,..,105.670288085938,0.990549981594086,1.02439999580383,105.10774230957,106.220886230469,55.6543884277344,1.13769996166229,59.6960487365723,51.7197113037109,21.7159004211426,1.03500998020172,22.10671043396,21.3328304290771,28.1928746618119
Argentina,1981,20.35493151,..,..,..,..,48.4498895498259,33.5523067782622,29.6977651151243,..,..,..,..,..,..,..,..,22.6910887215618,-14.9759380695599,53453563949.8048,76169562291,1696,17852632104.7179,335307833018.817,22.2402077537044,1662.2998047,17497893196.3759,22.6910887215618,-14.9759380335887,45315748531.0127,68976364432,1696,17852632104.7179,..,..,..,..,..,100.450880967857,260472609091.403,332217041981,7508,79031581274.8949,2.25996834937486E-06,19.8802568653612,20.3549315076925,1485.91000006155,15641158356.0261,233500211622.229,281387225480,7474.2998047,78676842366.5529,262,1.77463909074415,1396230000,0.206300122105366,3109,..,..,42.4036712646484,43.3481292724609,41.4832992553711,106.280616760254,0.986519992351532,1.02277994155884,105.675773620605,106.872596740723,56.8338584899902,1.14401996135712,61.1675300598145,52.6130218505859,23.1923408508301,1.14066004753113,24.9668102264404,21.4550800323486,13.1819256139748
Argentina,1982,19.53170789,..,..,..,..,45.9987644434275,33.9063722686192,31.3181100560577,..,..,..,..,..,..,..,..,21.7549479464592,-19.9428841877366,42793381597.0775,60979154697,4754,18341049876.2973,326248258584.94,24.3244480036609,5315.5,20507330798.7922,21.7549479464592,-19.9428841752905,36278481288.307,55220487965,4754,18341049876.2973,..,..,..,..,..,97.4304999427983,240333416982.971,305302705527,21291,82141205914.2291,6.9737344656833E-06,18.3585987862388,19.531707885895,4011.81279976284,15477673255.1153,231730816179.486,279254956430,21852.5,84307486836.724,247,1.15399003873071,972900000,0.160786868636288,10073.18,..,..,44.2409515380859,45.1455612182617,43.3603210449219,106.743217468262,0.981689989566803,1.00916004180908,106.121002197266,107.350761413574,58.731990814209,1.09957003593445,62.0716590881348,55.4765014648438,23.9549007415771,1.1363799571991,25.7286891937256,22.2198696136475,24.966594716826
